id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
22,yes,adult,528523,38,66,12,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,,,3,absent,distend_small,44,6.1,serosanguious,3.6,yes,2208,0,0,yes,lived
23,yes,young,529893,38.7,88,20,warm,normal,pale_cyanotic,less_3_sec,depressed,hypermotile,slight,significant,less_1_liter,7,increased,normal,34,6.1,cloudy,2.6,yes,7111,0,0,no,died
24,yes,adult,534145,38.1,129,48,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,,more_1_liter,2,,distend_large,57,66,serosanguious,2,no,3205,0,0,no,euthanized
25,yes,adult,530233,37.6,96,48,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,,4.5,absent,,45,4.6,cloudy,2.8,yes,3207,0,0,yes,died
26,yes,adult,529399,39.1,84,48,cool,reduced,dark_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,5,decreased,normal,59,8.4,serosanguious,3.3,no,4206,0,0,yes,lived
27,yes,adult,530354,38,92,28,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,2,,,46,5.3,serosanguious,2,yes,3111,0,0,no,lived
28,yes,adult,528503,39.4,124,32,cold,reduced,pale_cyanotic,less_3_sec,,absent,moderate,slight,more_1_liter,5,decreased,normal,48,7.3,serosanguious,3.4,no,2209,0,0,yes,euthanized
29,no,young,529796,40.3,114,36,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,,7,absent,distend_small,47,7.5,serosanguious,4.5,yes,2113,0,0,no,died
30,no,adult,529642,37.6,48,28,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,firm,49,7,clear,3.6,no,0,0,0,yes,lived
31,no,adult,529796,38.5,60,40,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,5.5,absent,normal,45,8.6,serosanguious,4.1,yes,0,0,0,yes,died
32,yes,adult,527916,38,129,96,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,,more_1_liter,5,absent,distend_small,73,8.4,serosanguious,4.1,yes,2206,0,0,yes,euthanized
33,yes,adult,530360,38,64,24,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,,3.5,absent,distend_large,47,7.5,cloudy,2.6,yes,3209,0,0,yes,died
34,yes,adult,528298,37.2,96,24,cold,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,,4.5,,distend_small,31.5,6.1,serosanguious,5.3,yes,3209,0,0,yes,lived
35,yes,adult,533871,38.5,80,16,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,less_1_liter,2,absent,distend_large,54,67,clear,2,yes,3205,0,0,no,lived
36,yes,adult,529388,37.2,68,12,normal,normal,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,7,absent,distend_large,49,7,cloudy,2.6,yes,2124,0,0,no,lived
37,yes,adult,527563,37.6,92,20,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,,3,absent,distend_small,48,6,serosanguious,3.4,yes,2209,0,0,yes,lived
38,yes,adult,528548,38.2,68,24,normal,,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,,3,normal,distend_large,45,7,cloudy,3.6,yes,3113,0,0,yes,lived
39,yes,adult,534163,38.1,140,68,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,,slight,,2,absent,distend_large,39,64,,2,yes,3205,0,0,no,euthanized
40,yes,adult,529827,37.1,84,30,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,,slight,more_1_liter,5,absent,distend_small,30,6,serosanguious,2.9,yes,2205,0,0,yes,died
41,yes,adult,527563,37.8,52,24,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,,slight,more_1_liter,5.7,normal,,48,7.2,clear,3.7,yes,2112,0,0,no,died
42,yes,adult,529399,37.6,84,30,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,,more_1_liter,1,absent,distend_small,55,8.1,serosanguious,3.9,yes,2208,0,0,no,lived
43,yes,adult,535196,38,130,16,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,,2,,distend_large,52,65,serosanguious,2,no,3205,1400,0,no,euthanized
44,yes,adult,527563,39.1,120,18,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,,5.3,decreased,other,64,8,cloudy,3.9,yes,2208,0,0,no,lived
45,no,adult,534787,38,56,14,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,,,less_1_liter,2,normal,normal,57,65,cloudy,2,no,0,0,0,yes,lived
46,yes,adult,533871,37.2,72,30,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,,more_1_liter,2,,distend_large,60,70,serosanguious,2,yes,3205,0,0,no,lived
47,yes,adult,528548,38.1,66,12,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,,slight,,3.5,increased,distend_large,44,7.5,cloudy,3.6,yes,2124,0,0,yes,lived
48,yes,adult,535176,38.4,80,35,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,3.5,absent,distend_small,50,85,cloudy,1.3,yes,3205,0,0,no,euthanized
49,yes,adult,528742,37.7,48,16,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,4.5,decreased,firm,35,7.5,serosanguious,4.5,yes,3205,0,0,no,lived
50,yes,adult,529045,37.7,60,12,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,6,increased,normal,45,7.5,serosanguious,1.4,yes,4206,0,0,no,died
51,no,adult,527518,37.6,108,96,cold,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,more_1_liter,4.5,,distend_small,52,6.1,cloudy,3.7,no,3205,0,0,no,euthanized
52,yes,adult,5290482,36.1,88,40,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,slight,,more_1_liter,5,absent,distend_large,44,7.5,serosanguious,5.3,yes,4205,0,0,yes,died
53,yes,adult,534787,38,36,16,cool,normal,pale_pink,less_3_sec,severe_pain,absent,severe,significant,more_1_liter,2,decreased,,37,75,cloudy,1,no,3111,0,0,no,euthanized
54,yes,adult,527463,37.6,96,18,cool,reduced,bright_red,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,5,,distend_small,69,8.1,serosanguious,2,yes,2208,0,0,no,lived
55,no,adult,529172,38.2,56,40,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,,7.5,,,47,7.2,clear,2.5,no,8300,0,0,yes,lived
56,yes,adult,528996,38.6,52,20,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,,more_1_liter,5.7,normal,firm,48,7.2,clear,5,no,0,0,0,yes,lived
57,yes,adult,528548,38.1,52,96,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,,4.4,increased,distend_large,43,6.1,cloudy,3.6,yes,2124,0,0,yes,lived
58,yes,adult,533887,38.2,88,24,cool,reduced,bright_pink,less_3_sec,depressed,absent,moderate,,,2,absent,distend_large,66,64,serosanguious,2,yes,4205,3111,2209,no,euthanized
59,no,adult,528904,37.7,96,30,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,4,absent,distend_large,66,75,serosanguious,2,yes,4205,0,0,no,died
60,yes,adult,535407,37.2,80,36,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,2,absent,,50,60,serosanguious,2,yes,1400,0,0,no,euthanized
61,yes,adult,527563,38.1,52,24,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,,slight,more_1_liter,7,normal,,54,7.5,cloudy,2.6,yes,5400,0,0,no,died
62,yes,adult,533902,38.1,80,51,cool,reduced,pale_pink,less_3_sec,depressed,absent,,slight,more_1_liter,2,absent,normal,54,82,serosanguious,2,yes,7209,0,0,no,lived
63,yes,adult,523190,38,84,24,warm,reduced,pale_pink,more_3_sec,mild_pain,absent,moderate,slight,less_1_liter,4.5,normal,distend_large,36,6.6,clear,3.9,yes,3115,0,0,no,lived
64,yes,young,534073,37.5,66,13,,,,,,,,slight,more_1_liter,5,decreased,,40,4.5,,0.1,yes,11124,0,0,no,lived
65,no,adult,534135,37.2,48,24,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,,more_1_liter,1,normal,,42,75,clear,1,no,0,0,0,no,lived
66,yes,young,5290409,39.2,164,24,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,slight,,more_1_liter,5,absent,,72,6.2,,3.2,yes,4207,0,0,no,died
67,no,adult,529160,38.4,48,28,normal,normal,normal_pink,less_3_sec,alert,hypomotile,,slight,slight,7,decreased,other,49,8.1,cloudy,1.5,no,3111,0,0,yes,lived
68,yes,adult,534917,37.8,52,16,normal,reduced,normal_pink,less_3_sec,depressed,absent,,slight,more_1_liter,2,,distend_small,46,81,clear,2,yes,2205,0,0,no,lived
69,yes,adult,534784,38.6,120,16,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,,less_1_liter,2,,distend_large,57,62,serosanguious,2,yes,2209,0,0,no,euthanized
70,no,adult,5299253,38.1,108,48,cold,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,,,2,decreased,distend_large,52,6,serosanguious,2,yes,4205,0,0,no,lived
71,yes,adult,534004,38,52,24,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,slight,more_1_liter,2,decreased,distend_small,57,82,serosanguious,2,yes,2209,0,0,yes,euthanized
72,yes,adult,534115,37.2,88,20,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,2,absent,distend_large,65,82,,2,no,3205,0,0,no,euthanized
73,yes,adult,529667,37.8,30,12,normal,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,6.5,absent,distend_large,46,6.5,serosanguious,4.4,yes,3205,0,0,yes,died
74,yes,adult,5297159,39.2,100,24,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,,3,,,60,7.5,serosanguious,3,yes,2124,0,0,yes,died
75,yes,adult,529388,38.2,66,16,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,,3,absent,distend_large,36,6.6,serosanguious,3.4,yes,31110,0,0,yes,died
76,no,adult,529427,37.5,88,24,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,,,less_1_liter,4,normal,,69,8.2,cloudy,5,no,3111,3112,0,yes,lived
77,yes,young,5279822,37.2,64,28,warm,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,,54,7.7,cloudy,3.3,yes,2208,0,0,yes,died
78,yes,adult,527463,38,104,40,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.4,absent,distend_small,53,7.3,cloudy,2.3,yes,2209,0,0,no,died
79,yes,adult,527677,38.4,52,12,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,normal,distend_small,54,6.1,serosanguious,3.6,yes,2208,0,0,no,lived
80,yes,adult,530612,38.5,76,28,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,5.5,normal,distend_small,40,6.5,cloudy,3.2,yes,2208,0,0,yes,lived
81,no,adult,535415,38,146,36,cool,reduced,bright_red,less_3_sec,depressed,absent,moderate,,more_1_liter,2,absent,distend_small,57,66,serosanguious,2,yes,3205,0,0,yes,euthanized
82,yes,young,530561,38.2,120,48,cool,reduced,bright_red,less_3_sec,depressed,,slight,slight,,4.5,,,37,6.1,cloudy,2.6,yes,1400,0,0,yes,died
83,no,adult,528682,38.4,52,21,,,pale_pink,less_3_sec,,,,,more_1_liter,5.5,normal,,43,6.8,clear,3.6,no,0,0,0,no,lived
84,yes,adult,530242,37.2,108,12,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6,decreased,firm,52,8.2,serosanguious,7.4,yes,2207,0,0,yes,euthanized
85,yes,young,529172,38.1,124,24,cool,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,,7,decreased,,47,7.5,clear,2.6,yes,9400,0,0,yes,lived
86,yes,adult,530002,39.4,100,51,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,2,absent,distend_small,57,8.5,serosanguious,3.9,yes,4205,0,0,no,died
87,yes,adult,534784,39.4,48,40,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,,less_1_liter,2,,distend_small,49,74,serosanguious,2,yes,2206,0,0,no,lived
88,no,adult,5289419,38.4,52,20,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,4,absent,distend_small,48,7.7,serosanguious,4.3,no,2124,0,0,yes,lived
89,no,adult,528548,38.3,104,40,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,,3,absent,distend_large,54,7.4,serosanguious,3.6,no,3113,0,0,yes,died
90,yes,adult,529498,38.5,88,24,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,4.5,decreased,distend_small,54,7.5,cloudy,2.6,yes,2205,0,0,no,lived
91,no,adult,529126,38.7,54,36,normal,,bright_pink,less_3_sec,depressed,hypermotile,,slight,less_1_liter,7,normal,distend_small,39,6,cloudy,2.6,no,300,0,0,yes,lived
92,no,adult,529667,38.3,64,30,normal,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,7.5,decreased,distend_large,47,7.2,,0.1,no,0,0,0,no,lived
93,no,adult,5291409,38.6,50,24,warm,normal,normal_pink,less_3_sec,alert,normal,slight,significant,,7,normal,,46,5.9,clear,1,no,0,0,0,no,lived
94,yes,adult,5287179,37.5,114,36,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,,7,decreased,distend_small,48,7.2,serosanguious,4.7,yes,2208,0,0,no,died
95,no,adult,530526,38.5,56,24,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,,more_1_liter,5,absent,distend_large,33,3.9,cloudy,3.9,yes,3111,0,0,yes,euthanized
96,yes,adult,530526,39.3,96,28,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,,more_1_liter,2,absent,distend_small,65,13,serosanguious,3.9,yes,2208,0,0,yes,died
97,yes,adult,5290759,37.7,76,20,cool,reduced,pale_cyanotic,3,extreme_pain,hypomotile,moderate,significant,,3,absent,distend_large,53,6.5,serosanguious,3.9,yes,3205,0,0,no,lived
98,yes,adult,532110,39.2,104,51,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,slight,more_1_liter,5,absent,distend_small,47,7.5,serosanguious,2.6,yes,2111,0,0,no,lived
99,yes,adult,528996,38.1,54,18,normal,normal,normal_pink,less_3_sec,alert,hypomotile,,,,3,decreased,other,39,7,clear,3,yes,3111,0,0,no,lived
100,yes,adult,534293,39.4,104,30,cool,reduced,dark_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,,more_1_liter,5.5,absent,distend_large,65,75,serosanguious,2.6,yes,2207,0,0,no,lived
101,no,adult,534280,38.3,52,20,,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,,,more_1_liter,2,,distend_small,53,86,clear,2,no,2209,0,0,yes,euthanized
102,yes,adult,528214,40.3,114,36,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,,4.4,absent,distend_small,68,7.7,serosanguious,4.8,yes,2209,0,0,no,died
103,no,adult,527933,39.1,72,30,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,significant,,2,decreased,distend_large,44,7.3,cloudy,2,yes,3300,0,0,yes,died
104,yes,adult,530612,38.6,42,20,warm,normal,pale_pink,less_3_sec,depressed,absent,moderate,,more_1_liter,5.4,,,43,8.1,serosanguious,4.4,yes,2205,0,0,yes,lived
105,no,adult,5283431,38,54,24,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,,slight,less_1_liter,7,decreased,distend_large,41,7.5,clear,6,no,3112,3112,0,yes,lived
106,yes,adult,534917,37.1,84,40,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,severe,significant,less_1_liter,2,absent,distend_large,75,81,clear,2,yes,2112,0,0,no,lived
107,yes,adult,528743,37.9,52,14,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,,less_1_liter,3,absent,distend_large,37,4,serosanguious,3.4,yes,2208,0,0,yes,lived
108,yes,adult,529766,38.9,96,24,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,7.5,decreased,distend_small,69,13,serosanguious,6.5,yes,2208,0,0,yes,died
109,no,adult,529304,38.1,48,40,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,6.5,absent,distend_small,54,8.1,serosanguious,4.1,yes,3205,0,0,no,died
110,yes,adult,530401,38,84,40,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,,less_1_liter,4,decreased,distend_large,75,7.2,serosanguious,4.3,yes,3205,0,0,yes,died
111,yes,adult,527702,38,88,24,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,,more_1_liter,5.7,decreased,distend_small,36,6.6,serosanguious,3.7,yes,2205,0,0,no,died
112,yes,adult,529849,37.8,48,32,cool,,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,7,absent,distend_small,41,7,clear,1,yes,2124,0,0,no,lived
113,yes,adult,534157,38.4,40,16,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,severe,slight,more_1_liter,2,absent,distend_large,52,77,serosanguious,2,yes,2209,0,0,no,euthanized
114,no,adult,534998,38.3,130,48,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,significant,more_1_liter,2,absent,distend_large,52,75,serosanguious,2,yes,3205,0,0,no,euthanized
115,no,adult,529340,38.3,48,28,cool,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,,7.2,normal,firm,47,5.5,cloudy,4.1,no,0,0,0,yes,lived
116,yes,adult,528904,38,80,16,cool,reduced,bright_red,less_3_sec,extreme_pain,hypomotile,moderate,significant,,4.5,absent,distend_large,60,7.2,serosanguious,4.1,yes,7111,0,0,yes,died
117,yes,adult,528742,38.1,48,12,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,,7.5,decreased,distend_small,48,8.6,serosanguious,2,yes,2208,0,0,yes,lived
118,yes,adult,530276,38,48,16,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,6.5,decreased,firm,42,7,clear,2.6,yes,400,0,0,no,lived
119,yes,adult,5290409,38.3,164,84,normal,normal,bright_pink,less_3_sec,depressed,,severe,,more_1_liter,5,decreased,,64,8,clear,6,yes,3205,0,0,yes,died
120,yes,young,530002,39.2,150,51,normal,reduced,bright_red,less_3_sec,,hypomotile,moderate,slight,more_1_liter,2,absent,normal,47,8.1,cloudy,2.2,no,1400,0,0,yes,died
121,no,adult,527927,37.2,42,16,,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,less_1_liter,6.5,normal,normal,45,7.5,cloudy,7,no,2300,0,0,yes,lived
122,yes,adult,534886,38.1,92,36,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,4.5,decreased,distend_large,38,75,cloudy,1,no,2322,0,0,no,lived
123,yes,adult,5290409,39.2,114,48,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_small,57,5.7,cloudy,6.6,no,2205,0,0,yes,died
124,yes,adult,527365,37.1,104,35,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,5,absent,distend_small,73,11,serosanguious,3.9,yes,2205,0,0,yes,died
125,yes,young,528641,39.1,164,84,cold,normal,bright_red,more_3_sec,depressed,hypomotile,,slight,less_1_liter,5,decreased,,40,7.2,serosanguious,5.3,yes,7209,0,0,yes,died
126,no,adult,528461,38.7,60,18,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,firm,49,7.2,clear,1.3,no,0,0,0,no,lived
127,yes,adult,528469,38.3,104,40,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,,slight,more_1_liter,6.5,normal,,64,9.1,cloudy,2.6,yes,2205,0,0,yes,died
128,yes,adult,527702,37.4,52,12,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,absent,distend_small,43,7.4,serosanguious,2.6,no,2209,0,0,no,euthanized
129,yes,adult,529607,38.3,84,36,cool,normal,pale_pink,less_3_sec,severe_pain,hypomotile,slight,,,7,normal,distend_large,45,6.5,cloudy,1.6,yes,7111,0,0,yes,died
130,yes,adult,533942,37.4,84,36,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,,more_1_liter,1,absent,distend_large,46,46,serosanguious,2,yes,7209,0,0,no,died
131,yes,adult,529272,38.3,132,28,,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.2,absent,distend_small,57,8,,5.2,yes,2112,0,0,no,lived
132,yes,adult,530233,37.8,96,48,cool,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,moderate,significant,more_1_liter,4.5,absent,distend_small,53,6.5,serosanguious,2,yes,3205,0,0,no,died
133,yes,adult,5290409,39.1,164,84,normal,reduced,pale_pink,more_3_sec,depressed,absent,moderate,,more_1_liter,5,decreased,,48,7.2,,5.3,yes,2208,0,0,no,died
134,yes,adult,528682,38.3,66,16,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,,,4,absent,distend_large,48,7,serosanguious,6,yes,3133,0,0,yes,lived
135,yes,adult,527365,38.1,68,12,normal,reduced,bright_pink,less_3_sec,extreme_pain,hypomotile,moderate,,,4.4,absent,,50,7.6,cloudy,2.9,yes,3205,0,0,yes,died
136,yes,adult,529796,37.9,88,28,cool,reduced,bright_red,more_3_sec,extreme_pain,absent,severe,slight,more_1_liter,6.5,normal,distend_large,60,6.1,serosanguious,3.4,yes,4205,0,0,no,died
137,yes,adult,535407,38,96,16,cool,reduced,bright_red,less_3_sec,severe_pain,hypomotile,moderate,significant,less_1_liter,2,absent,distend_large,60,69,cloudy,3,yes,2207,0,0,no,euthanized
138,yes,adult,529796,38,54,12,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,significant,more_1_liter,5.2,,,39,7.5,clear,5,yes,4205,0,0,no,lived
