customer_age,annual_income,tenure_months,monthly_bill,support_calls,complaints,data_usage_gb,late_payments,satisfaction_score,discount_percent,contract_type,internet_service,payment_method,region,churn
45.0,18000.0,17.2,92.83,1.0,2.0,14.57,1.0,8.5,0.8,Month-to-month,Fiber,Cash,West,0
37.0,18000.0,34.8,83.81,0.0,1.0,8.72,,7.8,12.0,Month-to-month,Fiber,Cash,South,0
31.0,31692.0,43.4,58.67,4.0,0.0,15.38,0.0,7.0,21.6,One year,,Credit Card,West,0
32.0,,3.9,30.78,2.0,1.0,17.07,2.0,5.3,16.2,Month-to-month,5G,Cash,North,1
50.0,44021.0,18.6,63.71,2.0,1.0,9.38,1.0,4.7,19.1,Two year,5G,AutoPay,,1
38.0,43822.0,25.0,99.21,1.0,1.0,27.26,0.0,10.0,2.5,Month-to-month,Fiber,Bank Transfer,Central,0
54.0,35558.0,36.4,91.5,3.0,0.0,13.1,1.0,4.2,22.2,Month-to-month,Fiber,Bank Transfer,Central,1
41.0,22775.0,34.6,118.99,4.0,2.0,21.13,2.0,5.1,28.5,Month-to-month,Fiber,UPI,West,1
45.0,27495.0,89.7,68.41,2.0,4.0,7.3,0.0,4.4,24.5,One year,Fiber,AutoPay,East,0
44.0,40715.0,29.7,33.33,2.0,2.0,150.0,0.0,5.6,5.8,Month-to-month,5G,AutoPay,South,0
35.0,45117.0,56.8,76.25,5.0,0.0,19.47,2.0,8.1,4.8,Month-to-month,Fiber,Bank Transfer,East,0
23.0,120568.0,10.9,75.82,2.0,2.0,30.5,0.0,5.9,14.3,Month-to-month,,Cash,South,0
44.0,73997.0,33.6,57.57,4.0,1.0,17.94,1.0,10.0,12.3,Two year,DSL,Credit Card,South,0
43.0,50223.0,8.2,58.68,2.0,0.0,17.73,1.0,3.1,3.6,One year,Fiber,Cash,South,1
35.0,24773.0,10.8,80.51,1.0,2.0,14.19,0.0,7.8,21.0,Month-to-month,DSL,Bank Transfer,North,0
61.0,52318.0,67.8,84.59,5.0,2.0,23.41,0.0,8.2,8.2,One year,Fiber,Credit Card,Central,0
39.0,63942.0,12.1,88.48,2.0,0.0,12.32,0.0,3.7,9.1,month-to-month,None,AutoPay,Central,0
52.0,84759.0,23.7,79.96,0.0,1.0,14.93,2.0,8.1,5.9,Month-to-month,Fiber,UPI,East,1
35.0,89085.0,25.7,20.0,0.0,1.0,20.28,2.0,10.0,0.0,Month-to-month,None,UPI,West,0
35.0,48333.0,,61.76,1.0,1.0,25.87,1.0,8.8,15.6,One year,Fiber,AutoPay,North,0
46.0,48350.0,45.2,108.27,3.0,1.0,31.61,1.0,4.7,24.7,Month-to-month,DSL,UPI,Central,0
34.0,66485.0,23.5,43.82,4.0,0.0,11.11,0.0,7.4,14.5,Month-to-month,None,Bank Transfer,North,0
42.0,54007.0,41.8,53.03,3.0,1.0,19.98,1.0,10.0,9.0,Month-to-month,None,UPI,East,0
28.0,37720.0,18.2,67.94,2.0,2.0,23.9,2.0,7.2,9.6,Two year,Fiber,UPI,Central,0
27.0,,59.7,99.73,2.0,2.0,30.0,1.0,6.1,12.3,Month-to-month,5G,Credit Card,South,0
36.0,57863.0,18.6,100.25,4.0,1.0,23.11,0.0,9.1,11.2,One year,None,Credit Card,North,0
19.0,57292.0,54.1,600.0,3.0,4.0,26.45,1.0,7.9,23.7,Month-to-month,Fiber, UPI,,0
47.0,83432.0,20.8,57.55,1.0,0.0,,1.0,6.0,22.2,One year,Fiber,Bank Transfer,Central,1
59.0,34604.0,8.9,74.03,2.0,0.0,32.18,2.0,8.8,10.0,Two year,DSL,Credit Card,North,0
39.0,31441.0,1.0,70.07,1.0,0.0,25.98,0.0,9.4,11.5,,5G,UPI,Central,0
53.0,,59.4,79.14,4.0,0.0,30.29,1.0,8.3,0.4,One year,Fiber,Credit Card,East,0
36.0,60474.0,27.1,36.65,1.0,3.0,27.28,2.0,8.5,10.3,,5G,Credit Card,East,0
41.0,42164.0,16.2,600.0,6.0,1.0,28.21,1.0,3.3,8.2,Two year,Fiber,Cash,South,1
18.0,250000.0,37.6,75.07,4.0,0.0,25.56,2.0,7.6,28.4,One year,None,Bank Transfer,,1
39.0,33842.0,27.9,78.08,6.0,2.0,19.04,0.0,5.7,4.4,,None,Credit Card,Central,1
36.0,32072.0,17.1,95.39,2.0,3.0,6.07,1.0,6.2,3.5,One year,Fiber,AutoPay,North,0
31.0,71094.0,22.1,65.82,3.0,0.0,4.53,1.0,9.9,11.2,One year,Fiber,Bank Transfer,East,0
,41303.0,15.0,67.8,3.0,0.0,26.84,4.0,8.0,12.8,One year,Fiber,Bank Transfer,East,1
42.0,29268.0,19.2,84.48,3.0,0.0,,1.0,7.7,4.5,Month-to-month,5G,AutoPay,West,1
23.0,43529.0,14.0,80.44,6.0,1.0,21.9,,3.0,13.2,Month-to-month,Fiber,Cash,North,1
18.0,32485.0,68.9,106.98,3.0,0.0,150.0,0.0,7.2,19.0,Month-to-month,Fiber,AutoPay,Central,0
47.0,78399.0,14.1,80.9,2.0,1.0,18.07,1.0,8.4,14.3,One year,Fiber,UPI,Central,0
41.0,53272.0,10.6,44.52,3.0,2.0,26.3,1.0,6.2,22.0,Two year,DSL,Credit Card,South,0
42.0,71250.0,13.2,80.53,1.0,0.0,10.62,0.0,7.0,16.4,One year,5G,AutoPay,Central,0
46.0,42287.0,29.0,67.62,,0.0,12.72,2.0,7.7,19.1,Two year,Fiber,AutoPay,West,0
44.0,52485.0,20.7,81.75,2.0,1.0,22.52,1.0,7.3,15.0,One year,Fiber,Bank Transfer,,1
39.0,38195.0,29.2,53.08,1.0,,32.37,0.0,7.4,7.9,One year,5G,Cash,East,1
41.0,75351.0,18.1,142.21,3.0,,16.71,1.0,8.3,8.5,Two year,Fiber,UPI,North,0
46.0,48994.0,17.7,87.25,2.0,0.0,25.42,2.0,5.9,7.0,One year,Fiber,Credit Card, SOUTH,0
41.0,37250.0,33.1,74.03,,0.0,24.39,1.0,7.8,3.7,Two year,DSL,AutoPay,Central,0
32.0,77446.0,22.9,47.37,3.0,1.0,23.93,0.0,,11.2,One year,5G,Cash,South,0
,35393.0,38.8,77.18,3.0,,12.42,0.0,10.0,15.8,Two year,5G,UPI,West,0
22.0,155302.0,53.5,89.57,2.0,1.0,15.45,2.0,7.0,3.6,Month-to-month,5G,Credit Card,East,0
54.0,144867.0,21.5,69.87,1.0,1.0,11.64,1.0,7.3,0.0,One year,Fiber,AutoPay,West,1
41.0,70894.0,13.0,66.76,1.0,2.0,21.0,0.0,6.4,0.2,Two year,None,Cash,East,0
36.0,,26.1,92.25,3.0,0.0,26.01,2.0,8.2,16.6,Month-to-month,5G,Bank Transfer,West,0
45.0,90605.0,70.6,53.94,4.0,2.0,9.02,0.0,6.1,0.0,Month-to-month,Fiber,AutoPay,Central,0
31.0,108909.0,41.5,121.09,2.0,1.0,19.51,1.0,8.0,,Month-to-month,None,Cash,North,0
32.0,162784.0,12.7,66.22,3.0,0.0,22.16,2.0,5.4,11.0,Two year,5G,UPI,South,1
58.0,146812.0,44.0,97.76,25.0,0.0,,2.0,8.0,4.6,Month-to-month,5G,AutoPay,West,0
43.0,43325.0,9.3,80.72,3.0,0.0,11.59,1.0,6.4,1.1,Month-to-month,Fiber,AutoPay,West,1
64.0,99553.0,32.3,55.65,1.0,4.0,20.04,0.0,5.9,25.0,Month-to-month,DSL,AutoPay,South,1
36.0,130530.0,14.3,82.85,1.0,0.0,24.74,2.0,6.6,7.1,One year,fiber,Credit Card,East,0
35.0,34322.0,25.4,50.0,2.0,0.0,25.85,2.0,7.2,18.3,Two year,Fiber,UPI,Central,0
,43151.0,20.5,104.23,2.0,0.0,27.99,3.0,7.8,,Month-to-month,Fiber,Credit Card,North,0
38.0,,27.5,78.18,4.0,0.0,220.0,2.0,10.0,6.6,Two year,Fiber,Credit Card,South,0
36.0,100785.0,96.2,112.5,0.0,0.0,5.37,0.0,1.6,9.7,One year,Fiber,Cash,Central,0
32.0,28285.0,40.9,108.37,2.0,1.0,18.8,1.0,3.5,12.8,,DSL,Bank Transfer,South,0
35.0,53816.0,22.3,58.73,4.0,1.0,25.72,,4.9,8.2,One year,Fiber,UPI,,0
52.0,26280.0,30.1,87.68,1.0,2.0,37.97,2.0,4.9,,Month-to-month,5G,UPI,Central,1
18.0,34443.0,41.0,83.0,1.0,0.0,14.0,0.0,6.1,16.1,Month-to-month,Fiber,Cash,Central,0
21.0,73704.0,16.1,75.73,4.0,1.0,21.89,0.0,6.7,16.6,Month-to-month,Fiber,AutoPay,North,0
47.0,38401.0,49.7,39.45,2.0,2.0,17.4,0.0,7.1,2.9,Month-to-month,None,UPI,West,0
35.0,124643.0,37.1,28.81,3.0,1.0,10.56,0.0,7.7,7.7,One year,Fiber,AutoPay,West,1
18.0,56153.0,19.7,21.91,1.0,1.0,15.94,1.0,4.7,23.1,Month-to-month,Fiber,UPI,Central,0
25.0,18828.0,15.0,32.85,2.0,2.0,22.15,0.0,9.2,14.7,One year,Fiber,AutoPay,South,1
37.0,32492.0,33.6,61.43,3.0,0.0,14.8,2.0,6.3,10.5,Month-to-month,FIBER,AutoPay,South,0
42.0,51698.0,28.2,67.74,4.0,1.0,18.31,1.0,10.0,0.0,One year,Fiber,UPI,East,0
25.0,36701.0,14.4,127.04,2.0,1.0,5.51,0.0,7.0,12.2,Month-to-month,Fiber,AutoPay,South,0
43.0,1000000.0,17.8,83.68,6.0,2.0,13.25,5.0,5.4,19.7,Month-to-month,Fiber,UPI,West,1
31.0,108032.0,31.2,59.56,1.0,1.0,18.17,1.0,5.6,24.6,Month-to-month,Fiber,Bank Transfer,East,0
27.0,30246.0,26.8,94.03,0.0,0.0,11.38,1.0,4.8,6.7,Month-to-month,Fiber,AutoPay,Central,0
26.0,54347.0,45.3,71.04,3.0,0.0,,0.0,7.1,16.0,Two year,Fiber,Cash,East,0
47.0,60161.0,33.1,49.83,1.0,2.0,27.76,2.0,5.2,0.0,Two year,None,AutoPay,North,0
30.0,62749.0,42.3,91.21,0.0,1.0,21.55,1.0,7.4,8.1,Two year,5G,AutoPay,South,0
,73558.0,41.6,57.77,3.0,2.0,18.49,0.0,8.6,0.0,Month-to-month,None,Bank Transfer,North,0
39.0,57357.0,51.2,49.36,3.0,0.0,,,5.1,0.0,One year,Fiber,Bank Transfer,East,0
18.0,56309.0,27.1,33.56,5.0,0.0,13.75,2.0,5.0,9.4,Month-to-month,DSL,Bank Transfer,East,0
31.0,42165.0,33.0,,4.0,3.0,17.54,0.0,4.8,17.9,Two year,Fiber,Cash,Central,1
54.0,78544.0,40.9,109.97,2.0,3.0,21.54,2.0,9.6,22.6,Month-to-month,5G,Cash,Central,0
48.0,36412.0,64.6,112.24,2.0,0.0,15.13,0.0,7.8,8.5,Month-to-month,Fiber,AutoPay,South,0
33.0,99174.0,28.1,77.82,2.0,0.0,18.19,2.0,4.7,22.2,,None,UPI,East,1
43.0,18000.0,32.3,20.0,1.0,1.0,24.14,1.0,7.7,9.0,Month-to-month,Fiber,AutoPay,South,0
37.0,48465.0,30.0,65.93,4.0,0.0,19.7,1.0,7.1,8.5,One year,5G,Bank Transfer,South,0
42.0,35095.0,22.1,69.66,2.0,0.0,19.23,,6.8,3.2,One year,DSL,AutoPay,North,0
53.0,104676.0,15.2,81.1,0.0,0.0,28.27,1.0,8.1,31.1,Month-to-month,5G,Cash,North,1
18.0,41289.0,38.9,87.03,5.0,1.0,14.94,2.0,3.7,7.7,Month-to-month,Fiber,Credit Card,Central,0
43.0,34403.0,34.5,83.61,3.0,1.0,12.72,2.0,6.2,6.4,Month-to-month,Fiber,Cash,West,1
55.0,91137.0,31.3,67.5,2.0,2.0,15.98,2.0,,22.3,Two year,Fiber,AutoPay,South,0
35.0,66184.0,83.2,60.93,1.0,,11.3,3.0,7.6,1.3,Month-to-month,Fiber,AutoPay,East,0
29.0,53575.0,16.3,83.08,3.0,1.0,22.37,,4.1,11.3,Month-to-month,Fiber,Credit Card,East,1
39.0,47976.0,5.2,133.95,,2.0,14.39,1.0,7.6,20.5,Month-to-month,DSL,Cash,East,0
41.0,51397.0,12.8,73.23,1.0,0.0,9.52,1.0,10.0,5.0,Two year,Fiber,UPI,North,0
20.0,84172.0,26.1,89.73,2.0,1.0,23.42,2.0,6.7,12.8,One year,Fiber,Bank Transfer,South,0
49.0,138588.0,18.4,138.18,3.0,0.0,9.79,4.0,5.7,11.7,One year,Fiber,Credit Card,East,1
51.0,18000.0,25.4,101.06,0.0,0.0,14.47,,5.1,21.6,Month-to-month,5G,Credit Card,East,1
49.0,39980.0,23.1,129.45,2.0,1.0,20.79,2.0,6.1,21.6,Month-to-month,Fiber,Credit Card,North,1
52.0,58493.0,60.9,71.34,0.0,0.0,26.46,0.0,6.9,9.5,,Fiber,Credit Card,North,0
38.0,62793.0,9.2,39.75,3.0,0.0,19.11,0.0,6.7,0.0,Month-to-month,5G,UPI,North,1
56.0,68458.0,19.3,70.04,1.0,0.0,22.35,1.0,8.3,3.0,Month-to-month,DSL,Cash,Central,1
38.0,94820.0,28.3,98.78,2.0,1.0,16.1,6.0,3.2,33.0,Month-to-month,,UPI,,1
47.0,50030.0,25.1,96.77,7.0,1.0,18.43,2.0,6.3,5.2,One year,5G,AutoPay,East,1
51.0,83482.0,13.0,122.41,4.0,1.0,,0.0,6.0,13.4,Month-to-month,DSL,Bank Transfer,West,0
32.0,46230.0,18.1,62.52,5.0,1.0,20.48,,8.5,22.9,Month-to-month,Fiber,Cash,South,0
26.0,29249.0,25.3,52.71,1.0,0.0,25.15,1.0,4.9,5.4,Month-to-month,Fiber,,East,0
21.0,,9.0,58.87,6.0,3.0,10.14,1.0,6.5,8.4,Month-to-month,5G,AutoPay,East,1
35.0,,20.7,74.87,4.0,1.0,21.67,1.0,8.5,13.1,Month-to-month,Fiber,Bank Transfer,East,1
34.0,85175.0,64.6,52.61,2.0,3.0,17.7,2.0,5.6,6.9,Month-to-month,Fiber,Cash,West,0
26.0,53053.0,16.2,77.16,3.0,3.0,9.38,0.0,9.4,3.5,Two year,Fiber,Cash,North,1
26.0,27892.0,9.1,85.5,2.0,0.0,25.09,1.0,5.5,23.1,Month-to-month,DSL,Bank Transfer,West,0
58.0,44156.0,25.9,33.44,3.0,1.0,,0.0,4.1,0.3,One year,5G,UPI,North,0
34.0,18000.0,17.5,67.25,1.0,0.0,21.11,2.0,5.6,12.1,One year,None,UPI,East,1
50.0,31988.0,10.7,32.47,2.0,0.0,15.19,2.0,7.2,21.4,Two year,5G,Credit Card,South,0
23.0,51502.0,41.6,78.59,1.0,4.0,28.58,1.0,5.6,14.4,One year,Fiber,Bank Transfer,North,0
54.0,75103.0,35.6,54.41,2.0,,12.64,1.0,7.1,11.7,Two year,Fiber,Credit Card,North,0
46.0,52285.0,28.7,72.57,,2.0,19.03,2.0,7.3,8.5,Month-to-month,Fiber,UPI,West,1
26.0,19646.0,15.5,56.15,2.0,2.0,29.15,1.0,1.7,7.8,One year,Fiber,UPI,North,1
34.0,93764.0,48.0,81.65,3.0,0.0,9.73,1.0,,5.8,,Fiber,Bank Transfer,North,1
32.0,97239.0,41.0,77.9,4.0,2.0,17.73,2.0,6.3,15.4,Month-to-month,DSL,Cash,West,0
43.0,25151.0,31.8,93.33,3.0,1.0,12.6,0.0,7.4,13.5,Month-to-month,Fiber,AutoPay,West,0
31.0,60149.0,19.9,92.71,3.0,0.0,24.0,1.0,7.0,10.1,Month-to-month,DSL,UPI,East,0
43.0,61197.0,23.5,94.34,3.0,2.0,,,3.1,13.7,,fiber,Bank Transfer,South,0
54.0,108730.0,15.3,114.38,3.0,0.0,17.65,0.0,4.5,5.5,One year,Fiber,Bank Transfer,Central,1
18.0,51993.0,13.0,94.06,3.0,1.0,18.85,0.0,5.2,16.4,Month-to-month,,Bank Transfer,East,1
55.0,57246.0,37.2,92.32,1.0,1.0,9.03,2.0,5.5,11.6,One year,DSL,Cash,,0
41.0,84369.0,,86.77,2.0,0.0,21.57,1.0,9.8,13.6,Month-to-month,5G,,North,0
,47316.0,23.8,75.24,2.0,0.0,21.46,0.0,7.0,6.4,Month-to-month,5G,UPI,West,0
34.0,116894.0,46.5,117.75,4.0,0.0,8.65,1.0,7.3,15.0,One year,5G,Credit Card,South,0
18.0,126958.0,89.9,72.46,4.0,4.0,5.85,2.0,4.0,19.1,Month-to-month,None,AutoPay,East,0
25.0,44377.0,61.1,90.16,4.0,1.0,22.45,1.0,10.0,14.8,One year,,AutoPay,Central,0
21.0,59231.0,34.7,,2.0,0.0,12.64,4.0,8.6,9.5,Month-to-month,Fiber,AutoPay,West,0
57.0,50854.0,13.2,73.54,1.0,1.0,20.21,1.0,6.5,,One year,Fiber,Credit Card,Central,0
27.0,24752.0,17.0,39.93,0.0,1.0,,1.0,6.1,12.6,Month-to-month,5G,Bank Transfer,South,0
38.0,62070.0,6.8,124.28,3.0,2.0,1.0,2.0,5.2,13.7,Month-to-month,Fiber,Credit Card,North,1
44.0,41241.0,26.5,83.94,0.0,3.0,14.68,0.0,4.5,25.5,,5G,Bank Transfer,Central,1
39.0,20870.0,21.5,42.66,1.0,0.0,5.92,3.0,,18.3,Two year,Fiber,Credit Card,North,0
42.0,52190.0,110.7,88.58,,0.0,31.22,0.0,6.0,10.5,Month-to-month,5G,Credit Card,Central,0
35.0,129086.0,26.7,81.81,1.0,0.0,22.66,2.0,6.9,4.0,Month-to-month,DSL,AutoPay,East,0
35.0,49782.0,12.1,82.49,2.0,0.0,17.82,,4.2,21.0,Month-to-month,Fiber,Cash,Central,1
35.0,51636.0,33.0,56.17,2.0,1.0,20.08,0.0,9.0,0.0,One year,None,Credit Card,Central,0
19.0,,27.1,122.45,1.0,2.0,30.54,,7.7,16.7,Month-to-month,Fiber,Credit Card,North,0
35.0,40814.0,30.0,64.32,4.0,0.0,25.48,1.0,6.8,23.2,Month-to-month,DSL,Credit Card,South,0
21.0,46900.0,17.6,82.32,1.0,2.0,21.03,2.0,2.3,1.0,Month-to-month,Fiber,Cash,North,0
22.0,54776.0,22.9,103.24,2.0,0.0,12.99,0.0,7.0,12.6,One year,Fiber,AutoPay,West,0
32.0,51311.0,26.4,80.62,3.0,,,0.0,9.0,28.6,,Fiber,Cash,East,0
40.0,30321.0,21.2,66.92,2.0,0.0,7.71,2.0,6.6,10.7,One year,DSL,Bank Transfer,Central,0
43.0,28882.0,23.0,58.37,0.0,2.0,12.02,3.0,7.2,22.2,Two year,DSL,AutoPay,East,0
36.0,53317.0,9.6,,5.0,2.0,26.29,0.0,6.8,19.4,One year,None,Cash,Central,0
38.0,59571.0,11.9,90.43,1.0,2.0,25.83,2.0,6.9,26.3,Two year,Fiber,Cash,West,0
21.0,68208.0,12.7,20.0,1.0,0.0,25.3,1.0,7.6,19.7,Month-to-month,DSL,AutoPay,South,0
,53776.0,20.7,26.28,1.0,0.0,28.65,3.0,8.7,15.2,Month-to-month,DSL,UPI,North,0
37.0,171817.0,37.7,101.99,1.0,1.0,,3.0,6.3,7.4,Month-to-month,Fiber,UPI,South,0
69.0,18962.0,32.5,90.82,4.0,0.0,15.62,0.0,8.4,6.7,Two year,DSL,UPI,East,0
47.0,500000.0,1.5,77.22,0.0,1.0,22.97,3.0,8.6,10.2,Month-to-month,Fiber,Bank Transfer,South,1
48.0,36363.0,41.7,72.77,0.0,0.0,20.29,,7.9,19.1,One year,DSL,AutoPay,North,0
42.0,,30.4,60.1,2.0,0.0,34.28,0.0,10.0,13.6,One year,Fiber,Credit Card,West,0
56.0,22567.0,19.4,,1.0,0.0,22.25,1.0,,14.4,Month-to-month,Fiber,Credit Card,West,1
3.0,46626.0,14.5,105.28,2.0,0.0,18.26,1.0,,9.9,One year,Fiber,Cash,Central,0
19.0,18023.0,32.2,89.49,0.0,0.0,14.42,3.0,6.8,12.3,Month-to-month,Fiber,UPI,East,0
29.0,59204.0,39.6,145.55,3.0,1.0,24.62,3.0,8.3,23.7,One year,Fiber,Cash,Central,1
34.0,98814.0,32.2,64.53,1.0,1.0,23.73,0.0,5.1,16.1,Month-to-month,5G,Cash,West,0
54.0,105429.0,29.2,79.04,0.0,0.0,40.02,0.0,5.2,1.2,One year,5G, UPI,Central,0
38.0,87852.0,15.1,98.9,5.0,1.0,21.63,0.0,4.9,36.9,Month-to-month,,,North,1
25.0,43073.0,7.8,80.4,4.0,2.0,21.16,1.0,3.7,13.4,Month-to-month,DSL,UPI,Central,0
47.0,78582.0,18.7,93.07,,1.0,21.75,0.0,5.5,17.4,Month-to-month,DSL,Bank Transfer,South,1
23.0,34816.0,7.7,35.44,,0.0,,2.0,,13.7,Month-to-month,Fiber,AutoPay,East,1
,48088.0,22.0,106.22,1.0,0.0,19.41,4.0,6.8,13.8,Two year,Fiber,Bank Transfer, SOUTH,0
58.0,144869.0,13.8,62.82,5.0,1.0,13.43,2.0,6.0,15.0,Month-to-month,5G,Bank Transfer,South,0
42.0,30273.0,30.9,84.15,2.0,2.0,16.2,0.0,5.3,18.9,Month-to-month,5G,Credit Card,East,1
38.0,33555.0,36.0,78.5,1.0,1.0,28.16,2.0,5.6,16.0,Two year,Fiber,Cash,East,0
27.0,26537.0,31.1,78.23,1.0,4.0,21.14,1.0,7.6,0.0,One year,Fiber,Bank Transfer,West,1
51.0,41209.0,30.3,,4.0,1.0,21.81,2.0,10.0,4.3,Month-to-month,None,UPI,North,1
34.0,91492.0,9.1,35.31,4.0,2.0,27.63,3.0,2.6,12.0,Month-to-month,None,Credit Card,Central,0
39.0,83422.0,15.1,119.05,1.0,1.0,7.86,1.0,7.9,10.8,Month-to-month,Fiber,Cash,Central,0
48.0,,24.4,87.2,4.0,1.0,13.06,0.0,5.0,2.0,One year,5G,Bank Transfer,East,0
41.0,28189.0,13.7,64.72,1.0,0.0,18.31,1.0,4.9,0.0,Two year,5G,Bank Transfer,South,1
35.0,77380.0,32.0,62.72,4.0,2.0,13.81,1.0,2.5,24.0,One year,Fiber,UPI,West,1
32.0,70867.0,5.8,105.1,1.0,0.0,,2.0,5.3,25.1,Two year,5G,Cash,West,0
44.0,39690.0,40.9,90.48,2.0,1.0,24.32,3.0,9.0,16.8,Two year,DSL,Cash,West,0
,75764.0,25.2,82.38,3.0,1.0,16.96,2.0,3.6,4.9,One year,Fiber,Cash,West,1
40.0,50850.0,34.9,85.08,1.0,1.0,14.38,2.0,3.9,7.7,Month-to-month,Fiber,AutoPay,East,0
25.0,,10.3,95.66,0.0,1.0,8.41,1.0,5.7,28.7,Month-to-month,DSL,Credit Card,South,0
37.0,18000.0,30.4,88.17,2.0,1.0,29.35,0.0,4.3,13.1,Month-to-month,DSL,AutoPay,West,0
39.0,144647.0,11.6,97.74,1.0,0.0,11.09,2.0,9.1,14.2,Month-to-month,DSL,AutoPay,South,0
58.0,26660.0,34.4,83.8,0.0,4.0,23.39,1.0,7.7,12.6,Month-to-month,Fiber,Bank Transfer,West,1
36.0,89921.0,28.2,44.1,1.0,1.0,15.83,6.0,2.7,12.2,Month-to-month,DSL,Bank Transfer,East,1
36.0,70260.0,20.7,123.96,3.0,2.0,20.73,0.0,6.9,12.6,Month-to-month,DSL,AutoPay,West,1
34.0,111615.0,37.9,58.8,1.0,,13.07,1.0,7.4,,Month-to-month,None,Cash,South,0
39.0,56496.0,35.5,104.5,3.0,3.0,14.17,0.0,4.7,0.0,Month-to-month,Fiber,Cash,West,0
36.0,56440.0,10.9,47.34,4.0,0.0,12.97,1.0,6.4,13.2,Month-to-month,Fiber,Bank Transfer,South,1
50.0,121720.0,16.0,69.62,2.0,0.0,6.64,0.0,8.6,18.9,One year,Fiber,AutoPay,North,0
44.0,164265.0,26.2,91.88,3.0,1.0,18.48,0.0,,14.7,One year,Fiber,Bank Transfer,East,1
28.0,112820.0,24.6,33.63,3.0,2.0,12.98,1.0,8.2,0.0,One year,Fiber,Bank Transfer,West,0
,18000.0,37.0,73.11,2.0,2.0,8.49,3.0,9.1,21.8,Month-to-month,None,AutoPay,West,0
44.0,42571.0,26.5,69.72,3.0,0.0,,,5.1,12.0,Month-to-month,Fiber,Bank Transfer,West,1
41.0,28921.0,7.4,76.24,2.0,0.0,1.96,0.0,6.6,18.3,One year,DSL,Bank Transfer,Central,0
25.0,73425.0,36.9,57.92,1.0,,8.93,1.0,6.4,18.9,Month-to-month,DSL,Cash,South,1
51.0,52042.0,38.1,77.43,4.0,2.0,30.44,1.0,3.5,15.4,Month-to-month,5G,Credit Card,Central,0
51.0,83519.0,22.0,,2.0,1.0,4.3,1.0,9.0,3.7,Month-to-month,Fiber,UPI,,0
45.0,46792.0,14.8,95.76,1.0,1.0,12.52,1.0,6.5,12.9,Month-to-month,Fiber,UPI,East,0
49.0,111868.0,19.0,91.13,1.0,0.0,22.15,2.0,7.3,0.0,,None,Cash,South,1
45.0,62389.0,18.3,121.95,1.0,3.0,27.47,3.0,8.0,13.1,Month-to-month,5G,Bank Transfer,North,0
24.0,36487.0,43.8,59.12,3.0,0.0,4.16,3.0,8.6,26.7,One year,Fiber,UPI,North,0
42.0,49474.0,21.2,111.74,1.0,1.0,30.09,1.0,9.4,20.1,Month-to-month,None,Credit Card,East,0
34.0,101576.0,44.2,127.77,4.0,0.0,14.03,3.0,4.5,3.5,Two year,Fiber,UPI,West,0
,40351.0,17.8,39.15,1.0,1.0,17.14,1.0,8.4,9.4,Month-to-month,Fiber,AutoPay,East,0
