Crop Type,Field Size (hectares),Planting Date,Soil Type,Fertilizer Used,Irrigation Type,Yield_t_per_ha
Potato,3.63,03-10-2023,Alluvial,Compost/Organic Manure,Sprinkler Irrigation,23.81
Maize,1.66,06-06-2025,Clay,Biofertilizers,Flood Irrigation,3.078
Groundnut,0.4,05-06-2024,Loamy,DAP,Drip Irrigation,1.738
Groundnut,2.71,02-05-2025,Silty,NPK,Furrow/Canal irrigation,1.6
Rice,3.05,20-06-2025,Sandy,Compost/Organic Manure,Flood Irrigation,3.712
Onion,0.35,20-04-2025,Sandy,MOP,Rainfed,16.063
Wheat,4.08,11-12-2024,Loamy,NPK,Rainfed,2.818
Wheat,0.23,01-10-2025,Clay,Biofertilizers,Furrow/Canal irrigation,3.294
Rice,0.84,12-06-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,5.034
Rice,2.13,22-06-2025,Laterite,DAP,Rainfed,3.35
Onion,4.46,24-04-2024,Silty,DAP,Rainfed,19.513
Groundnut,2.6,17-06-2025,Clay,Compost/Organic Manure,Furrow/Canal irrigation,1.318
Rice,2.96,01-06-2025,Loamy,Urea,Furrow/Canal irrigation,5.608
Rice,1.46,18-07-2025,Sandy,Urea,Furrow/Canal irrigation,4.28
Potato,1.58,19-02-2023,Silty,NPK,Drip Irrigation,26.578
Maize,0.33,22-06-2025,Loamy,Urea,Furrow/Canal irrigation,4.183
Potato,0.16,08-06-2025,Alluvial,Biofertilizers,Furrow/Canal irrigation,22.583
Potato,1.52,26-11-2024,Alluvial,Compost/Organic Manure,Furrow/Canal irrigation,27.135
Potato,4.86,13-06-2024,Alluvial,Compost/Organic Manure,Flood Irrigation,23.039
Potato,2.92,08-06-2024,Sandy,DAP,Flood Irrigation,17.829
Potato,0.62,22-07-2024,Alluvial,NPK,Furrow/Canal irrigation,26.247
Rice,0.45,02-07-2024,Sandy,NPK,Furrow/Canal irrigation,4.147
Wheat,5.41,07-12-2024,Loamy,Ammonium Sulphate,Drip Irrigation,3.93
Onion,4.2,22-04-2024,Alluvial,MOP,Rainfed,23.598
Rice,3.36,11-07-2025,Clay,DAP,Sprinkler Irrigation,5.141
Maize,4.63,20-09-2025,Silty,NPK,Furrow/Canal irrigation,4.109
Wheat,0.87,20-12-2024,Silty,NPK,Rainfed,2.908
Wheat,1.21,06-12-2025,Silty,DAP,Rainfed,2.822
Soybean,3.51,22-06-2025,Loamy,Compost/Organic Manure,Sprinkler Irrigation,0.998
Rice,0.6,15-06-2025,Clay,MOP,Sprinkler Irrigation,4.622
Sugarcane,0.36,21-12-2024,Peaty,Compost/Organic Manure,Furrow/Canal irrigation,88.08
Potato,0.88,02-07-2024,Silty,Biofertilizers,Sprinkler Irrigation,24.568
Rice,1.56,25-07-2025,Alluvial,MOP,Rainfed,3.844
Cotton,7.24,15-07-2025,Loamy,DAP,Rainfed,0.523
Groundnut,6.66,15-06-2025,Sandy,DAP,Flood Irrigation,1.22
Wheat,0.82,13-10-2024,Chalky,Ammonium Sulphate,Drip Irrigation,2.778
Maize,0.77,27-09-2024,Clay,Compost/Organic Manure,Rainfed,3.004
Sugarcane,1.5,10-01-2025,Laterite,Compost/Organic Manure,Furrow/Canal irrigation,81.208
Maize,0.21,14-07-2024,Clay,NPK,Rainfed,3.319
Potato,0.65,05-02-2024,Alluvial,NPK,Furrow/Canal irrigation,26.164
Soybean,0.41,05-06-2023,Alluvial,DAP,Flood Irrigation,1.157
Wheat,0.65,09-11-2024,Laterite,Compost/Organic Manure,Flood Irrigation,2.788
Rice,2.33,12-06-2025,Loamy,Urea,Furrow/Canal irrigation,4.836
Rice,2.71,27-06-2025,Sandy,Urea,Sprinkler Irrigation,4.598
Sugarcane,1.02,25-11-2024,Loamy,MOP,Furrow/Canal irrigation,109.005
Groundnut,1.63,19-05-2025,Sandy,DAP,Rainfed,1.211
Onion,0.29,03-10-2025,Silty,Compost/Organic Manure,Flood Irrigation,22.012
Sugarcane,0.51,26-02-2025,Loamy,Biofertilizers,Furrow/Canal irrigation,104.878
Wheat,0.18,17-10-2025,Silty,Urea,Rainfed,3.29
Maize,0.13,23-10-2025,Loamy,Urea,Rainfed,3.85
Sugarcane,1.54,19-02-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,103.864
Rice,0.48,19-07-2024,Silty,NPK,Drip Irrigation,4.854
Potato,2.45,26-11-2024,Loamy,DAP,Rainfed,23.972
Potato,0.4,03-01-2023,Loamy,NPK,Rainfed,23.037
Wheat,0.93,15-11-2025,Laterite,Urea,Flood Irrigation,2.794
Sugarcane,2.26,16-01-2025,Silty,DAP,Furrow/Canal irrigation,100.682
Cotton,3.5,10-06-2025,Loamy,Urea,Sprinkler Irrigation,0.607
Rice,0.65,09-07-2024,Laterite,Biofertilizers,Rainfed,4.306
Wheat,0.3,08-11-2025,Loamy,DAP,Rainfed,2.774
Rice,0.96,23-07-2025,Alluvial,MOP,Furrow/Canal irrigation,5.292
Rice,2.69,16-07-2025,Clay,DAP,Drip Irrigation,5.055
Onion,0.28,13-10-2024,Clay,MOP,Rainfed,20.842
Rice,0.45,04-06-2023,Silty,NPK,Rainfed,4.284
Soybean,0.12,10-06-2024,Alluvial,Biofertilizers,Flood Irrigation,1.148
Soybean,0.31,21-06-2025,Loamy,Ammonium Sulphate,Sprinkler Irrigation,1.234
Rice,2.45,15-07-2024,Peaty,NPK,Drip Irrigation,4.431
Wheat,2.21,03-11-2025,Peaty,Biofertilizers,Furrow/Canal irrigation,3.146
Soybean,0.64,21-06-2024,Loamy,DAP,Sprinkler Irrigation,1.174
Rice,0.89,15-07-2025,Loamy,Ammonium Sulphate,Rainfed,4.554
Onion,3.88,14-10-2024,Laterite,MOP,Drip Irrigation,25.772
Wheat,2.24,27-12-2025,Loamy,Urea,Furrow/Canal irrigation,3.392
Maize,1.02,19-09-2025,Clay,Compost/Organic Manure,Furrow/Canal irrigation,3.611
Maize,0.72,28-09-2024,Loamy,NPK,Rainfed,3.956
Sugarcane,2.09,02-02-2025,Clay,DAP,Flood Irrigation,83.371
Onion,3.27,22-10-2025,Alluvial,NPK,Drip Irrigation,33.193
Cotton,1.46,07-04-2025,Loamy,Urea,Flood Irrigation,0.516
Potato,0.53,23-06-2024,Loamy,NPK,Rainfed,21.625
Rice,0.15,21-06-2024,Laterite,NPK,Rainfed,4.072
Cotton,2.17,16-07-2024,Loamy,NPK,Flood Irrigation,0.522
Onion,6.9,25-05-2025,Laterite,NPK,Furrow/Canal irrigation,24.623
Cotton,6.73,27-06-2024,Silty,Biofertilizers,Rainfed,0.402
Rice,1.07,15-07-2024,Alluvial,Compost/Organic Manure,Furrow/Canal irrigation,5.152
Wheat,3.91,02-11-2024,Loamy,NPK,Furrow/Canal irrigation,3.468
Maize,1.73,05-06-2024,Clay,MOP,Furrow/Canal irrigation,3.426
Potato,5.6,01-07-2023,Laterite,NPK,Rainfed,20.689
Rice,0.3,11-07-2025,Silty,NPK,Drip Irrigation,5.869
Wheat,2.01,23-12-2025,Alluvial,NPK,Rainfed,3.374
Soybean,2.8,08-06-2025,Laterite,NPK,Drip Irrigation,1.134
Soybean,2.49,01-06-2024,Sandy,Compost/Organic Manure,Flood Irrigation,0.813
Maize,0.8,19-07-2024,Peaty,DAP,Sprinkler Irrigation,4.167
Soybean,3.41,16-06-2025,Alluvial,Urea,Rainfed,1.034
Wheat,4.99,10-11-2025,Peaty,Urea,Rainfed,2.642
Wheat,1.53,23-11-2025,Loamy,Compost/Organic Manure,Sprinkler Irrigation,3.975
Maize,2.2,19-10-2024,Loamy,DAP,Rainfed,3.642
Rice,2.52,20-06-2024,Laterite,Compost/Organic Manure,Furrow/Canal irrigation,4.286
Groundnut,0.92,08-06-2025,Silty,MOP,Rainfed,1.227
Groundnut,1.04,10-05-2025,Laterite,Urea,Flood Irrigation,1.265
Rice,0.17,06-07-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,4.681
Maize,1.35,27-10-2025,Alluvial,Biofertilizers,Flood Irrigation,3.279
Potato,1.89,05-10-2024,Laterite,DAP,Rainfed,19.549
Sugarcane,0.16,12-02-2025,Sandy,NPK,Flood Irrigation,74.677
Rice,1.58,19-07-2025,Clay,MOP,Flood Irrigation,3.966
Sugarcane,3.04,11-02-2024,Alluvial,DAP,Drip Irrigation,111.687
Potato,0.28,04-02-2024,Loamy,Biofertilizers,Flood Irrigation,21.963
Maize,0.21,13-06-2024,Clay,Ammonium Sulphate,Furrow/Canal irrigation,4.274
Onion,2.13,14-10-2025,Silty,Compost/Organic Manure,Rainfed,23.704
Onion,2.69,07-11-2023,Clay,Biofertilizers,Furrow/Canal irrigation,22.247
Rice,0.88,02-07-2025,Clay,DAP,Sprinkler Irrigation,4.825
Potato,3.27,21-06-2023,Silty,Biofertilizers,Drip Irrigation,24.958
Wheat,0.26,03-10-2025,Laterite,NPK,Rainfed,2.239
Potato,0.15,26-10-2024,Alluvial,Urea,Furrow/Canal irrigation,24.602
Rice,0.48,04-06-2025,Silty,Urea,Drip Irrigation,5.707
Groundnut,0.44,06-05-2025,Loamy,Urea,Rainfed,1.372
Rice,2.61,17-07-2024,Silty,NPK,Flood Irrigation,4.127
Soybean,2.26,02-06-2024,Alluvial,Compost/Organic Manure,Rainfed,1.01
Rice,1.99,11-06-2023,Silty,Urea,Flood Irrigation,5.109
Soybean,1.19,15-06-2024,Clay,NPK,Furrow/Canal irrigation,1.022
Rice,2.94,14-06-2024,Loamy,NPK,Flood Irrigation,4.537
Rice,0.13,12-07-2024,Alluvial,Ammonium Sulphate,Rainfed,4.127
Rice,0.31,24-06-2023,Laterite,Compost/Organic Manure,Rainfed,4.121
Soybean,1.45,12-06-2025,Alluvial,Biofertilizers,Rainfed,0.866
Onion,1.24,10-06-2025,Loamy,MOP,Sprinkler Irrigation,26.435
Sugarcane,1.12,28-11-2025,Silty,Urea,Flood Irrigation,101.443
Wheat,0.19,20-12-2025,Peaty,NPK,Rainfed,2.988
Sugarcane,1.04,23-01-2024,Laterite,Biofertilizers,Flood Irrigation,78.598
Rice,3.98,03-07-2025,Loamy,MOP,Drip Irrigation,6.111
Groundnut,2.25,11-06-2024,Loamy,DAP,Flood Irrigation,1.474
Onion,1.86,06-04-2025,Laterite,Urea,Drip Irrigation,24.307
Maize,5.73,14-10-2024,Loamy,Compost/Organic Manure,Drip Irrigation,3.879
Maize,2.16,17-10-2025,Silty,Urea,Flood Irrigation,4.104
Soybean,1.33,25-06-2024,Loamy,DAP,Flood Irrigation,1.205
Rice,1.08,18-07-2024,Chalky,NPK,Furrow/Canal irrigation,4.402
Potato,6.6,14-10-2024,Sandy,Biofertilizers,Furrow/Canal irrigation,20.044
Cotton,0.87,10-07-2025,Sandy,Urea,Flood Irrigation,0.421
Potato,3.83,03-02-2024,Clay,Urea,Rainfed,18.265
Maize,2.49,24-07-2024,Loamy,DAP,Sprinkler Irrigation,4.275
Cotton,2.08,25-05-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,0.54
Potato,3.35,07-11-2024,Loamy,Urea,Furrow/Canal irrigation,27.423
Rice,0.76,22-07-2024,Alluvial,MOP,Rainfed,4.353
Soybean,3.39,16-06-2024,Clay,DAP,Flood Irrigation,0.943
Rice,9.41,02-07-2024,Sandy,Compost/Organic Manure,Drip Irrigation,3.812
Potato,3.1,15-11-2025,Silty,Biofertilizers,Furrow/Canal irrigation,21.832
Rice,0.93,17-07-2024,Loamy,Urea,Drip Irrigation,5.968
Potato,2.91,17-06-2025,Silty,Urea,Rainfed,20.346
Onion,0.32,13-05-2024,Clay,DAP,Rainfed,19.601
Groundnut,3.6,18-05-2023,Peaty,DAP,Furrow/Canal irrigation,1.449
Sugarcane,0.87,12-10-2024,Loamy,MOP,Rainfed,83.373
Rice,0.12,21-07-2024,Laterite,Compost/Organic Manure,Rainfed,3.775
Potato,4.82,21-01-2025,Peaty,NPK,Drip Irrigation,24.603
Wheat,6.09,07-11-2024,Loamy,Urea,Drip Irrigation,3.723
Potato,6.12,22-10-2025,Loamy,Compost/Organic Manure,Sprinkler Irrigation,30.206
Maize,1.29,24-06-2024,Clay,NPK,Rainfed,3.483
Wheat,0.79,26-12-2025,Clay,NPK,Flood Irrigation,3.349
Potato,2.89,12-06-2025,Peaty,MOP,Rainfed,16.154
Groundnut,3.24,06-06-2025,Laterite,Compost/Organic Manure,Sprinkler Irrigation,1.266
Wheat,1.69,04-12-2025,Chalky,NPK,Sprinkler Irrigation,3.208
Rice,1.27,27-06-2024,Clay,Biofertilizers,Flood Irrigation,3.932
Maize,0.35,02-10-2025,Clay,NPK,Flood Irrigation,3.795
Rice,0.41,27-06-2023,Chalky,DAP,Sprinkler Irrigation,4.671
Rice,0.31,25-06-2025,Chalky,NPK,Drip Irrigation,5.179
Rice,0.28,18-06-2024,Alluvial,MOP,Rainfed,4.018
Groundnut,3.55,08-05-2024,Clay,Compost/Organic Manure,Rainfed,1.126
Rice,2.55,21-06-2025,Clay,DAP,Sprinkler Irrigation,5.067
Maize,5.98,06-10-2024,Silty,Urea,Furrow/Canal irrigation,3.856
Rice,8.64,02-07-2024,Silty,Biofertilizers,Flood Irrigation,4.194
Rice,0.27,25-06-2024,Silty,Compost/Organic Manure,Sprinkler Irrigation,5.307
Maize,3.1,27-09-2025,Laterite,NPK,Rainfed,2.51
Soybean,4.84,02-06-2023,Loamy,Urea,Sprinkler Irrigation,1.366
Rice,0.34,09-07-2025,Sandy,MOP,Flood Irrigation,3.68
Potato,1.36,09-11-2025,Loamy,NPK,Furrow/Canal irrigation,27.052
Groundnut,0.22,16-05-2024,Chalky,NPK,Furrow/Canal irrigation,1.471
Wheat,1.85,14-10-2025,Silty,Compost/Organic Manure,Rainfed,2.975
Wheat,6.65,10-11-2024,Clay,Compost/Organic Manure,Sprinkler Irrigation,2.863
Maize,4.16,20-10-2023,Alluvial,DAP,Furrow/Canal irrigation,3.929
Onion,0.61,12-05-2025,Clay,Compost/Organic Manure,Sprinkler Irrigation,23.443
Rice,10.01,08-06-2023,Laterite,NPK,Flood Irrigation,4.584
Cotton,0.25,12-06-2025,Clay,Urea,Sprinkler Irrigation,0.508
Maize,1.58,04-09-2025,Sandy,DAP,Rainfed,2.885
Onion,2.09,23-05-2024,Clay,Biofertilizers,Flood Irrigation,20.14
Onion,2.08,28-10-2024,Sandy,Urea,Rainfed,21.094
Onion,1.86,18-10-2025,Silty,Compost/Organic Manure,Furrow/Canal irrigation,24.005
Groundnut,2.04,04-05-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,1.519
Maize,0.75,15-10-2025,Laterite,NPK,Rainfed,3.036
Rice,0.97,17-07-2024,Clay,NPK,Rainfed,3.407
Rice,1.85,15-07-2025,Peaty,DAP,Furrow/Canal irrigation,3.77
Groundnut,3.46,14-05-2025,Clay,Compost/Organic Manure,Furrow/Canal irrigation,1.364
Cotton,2.41,23-06-2024,Loamy,Biofertilizers,Rainfed,0.472
Wheat,1.18,18-12-2024,Loamy,MOP,Rainfed,3.354
Rice,5.5,06-06-2025,Silty,Compost/Organic Manure,Rainfed,3.97
Potato,3.43,03-01-2023,Sandy,MOP,Rainfed,16.663
Sugarcane,8.83,16-12-2025,Alluvial,NPK,Rainfed,91.259
Wheat,1.06,13-12-2025,Loamy,Urea,Drip Irrigation,3.577
Maize,7.11,20-10-2024,Loamy,Compost/Organic Manure,Flood Irrigation,3.997
Onion,1.36,25-10-2025,Clay,MOP,Flood Irrigation,21.611
Maize,1.17,04-09-2024,Sandy,Biofertilizers,Furrow/Canal irrigation,3.26
Maize,4.1,07-07-2025,Laterite,NPK,Rainfed,3.064
Maize,3.45,13-09-2024,Clay,Biofertilizers,Sprinkler Irrigation,4.1
Maize,5.89,10-07-2024,Silty,Compost/Organic Manure,Rainfed,3.377
Potato,3.89,12-02-2024,Sandy,Urea,Rainfed,17.269
Maize,0.38,25-10-2023,Silty,Compost/Organic Manure,Rainfed,2.807
Soybean,6.26,12-06-2025,Laterite,DAP,Furrow/Canal irrigation,0.931
Groundnut,2.33,17-06-2025,Sandy,Urea,Rainfed,1.109
Potato,2.03,11-01-2024,Alluvial,DAP,Flood Irrigation,23.403
Soybean,2.33,23-06-2025,Silty,NPK,Drip Irrigation,1.216
Wheat,1.57,10-12-2025,Laterite,Compost/Organic Manure,Rainfed,2.488
Rice,3.92,24-06-2024,Sandy,NPK,Rainfed,4.097
Groundnut,1.71,02-05-2024,Silty,Ammonium Sulphate,Sprinkler Irrigation,1.602
Maize,1.13,14-09-2024,Clay,MOP,Rainfed,3.022
Potato,0.39,17-01-2023,Loamy,DAP,Rainfed,25.501
Cotton,0.58,18-07-2025,Loamy,DAP,Furrow/Canal irrigation,0.576
Groundnut,0.39,08-05-2025,Loamy,DAP,Furrow/Canal irrigation,1.393
Onion,1.25,11-11-2025,Clay,MOP,Furrow/Canal irrigation,24.982
Groundnut,4.79,13-06-2024,Laterite,Biofertilizers,Furrow/Canal irrigation,1.295
Wheat,3.16,12-10-2025,Alluvial,MOP,Furrow/Canal irrigation,2.929
Wheat,1.11,09-12-2025,Loamy,MOP,Rainfed,3.236
Wheat,6.07,04-10-2025,Clay,Compost/Organic Manure,Drip Irrigation,3.409
Groundnut,0.42,14-05-2025,Silty,Compost/Organic Manure,Rainfed,1.207
Sugarcane,0.7,02-02-2025,Alluvial,Urea,Rainfed,91.266
Cotton,1.33,14-05-2025,Alluvial,Urea,Furrow/Canal irrigation,0.531
Onion,0.9,24-10-2025,Alluvial,Biofertilizers,Furrow/Canal irrigation,25.789
Rice,2.11,10-07-2025,Clay,MOP,Rainfed,3.571
Potato,0.38,09-11-2025,Loamy,Urea,Sprinkler Irrigation,27.147
Maize,0.37,24-09-2025,Loamy,DAP,Rainfed,3.332
Rice,0.95,03-07-2025,Clay,Urea,Furrow/Canal irrigation,4.628
Maize,4.64,08-07-2023,Clay,DAP,Flood Irrigation,4.075
Soybean,0.48,23-06-2024,Loamy,Ammonium Sulphate,Rainfed,0.984
Rice,0.53,12-07-2025,Silty,DAP,Sprinkler Irrigation,4.738
Rice,0.29,25-07-2024,Silty,Ammonium Sulphate,Sprinkler Irrigation,4.697
Wheat,0.36,23-12-2025,Loamy,Biofertilizers,Drip Irrigation,3.376
Potato,1.01,06-01-2024,Loamy,NPK,Drip Irrigation,28.483
Wheat,1.5,15-12-2023,Laterite,NPK,Rainfed,2.616
Maize,3.31,24-07-2025,Sandy,DAP,Drip Irrigation,3.757
Wheat,2.08,23-11-2023,Sandy,Biofertilizers,Furrow/Canal irrigation,3.024
Rice,2.86,06-07-2023,Laterite,Compost/Organic Manure,Furrow/Canal irrigation,3.997
Soybean,0.51,15-06-2024,Alluvial,Compost/Organic Manure,Flood Irrigation,1.046
Sugarcane,1.43,04-11-2025,Loamy,NPK,Rainfed,81.749
Groundnut,2.03,10-05-2025,Clay,Compost/Organic Manure,Rainfed,1.04
Maize,2.85,05-07-2024,Loamy,Biofertilizers,Furrow/Canal irrigation,3.446
Rice,0.17,08-06-2025,Loamy,Urea,Drip Irrigation,5.729
Soybean,4.61,13-06-2024,Clay,NPK,Furrow/Canal irrigation,1.001
Groundnut,1.53,08-06-2025,Laterite,Compost/Organic Manure,Flood Irrigation,1.108
Soybean,1.29,22-06-2024,Silty,NPK,Flood Irrigation,1.106
Cotton,1.62,18-07-2025,Clay,Biofertilizers,Furrow/Canal irrigation,0.425
Sugarcane,1.05,05-01-2025,Loamy,DAP,Rainfed,82.249
Wheat,0.14,05-12-2024,Laterite,Biofertilizers,Rainfed,2.175
Onion,0.89,07-05-2024,Loamy,Urea,Rainfed,21.508
Maize,0.36,22-07-2023,Silty,Urea,Drip Irrigation,4.296
Potato,2.37,16-01-2025,Loamy,Compost/Organic Manure,Flood Irrigation,26.023
Potato,3.21,24-10-2025,Alluvial,NPK,Flood Irrigation,23.762
Soybean,1.64,18-06-2024,Loamy,DAP,Rainfed,1.04
Soybean,1.87,15-06-2024,Sandy,Biofertilizers,Rainfed,0.735
Potato,0.37,02-11-2024,Silty,DAP,Sprinkler Irrigation,28.744
Wheat,0.77,11-10-2024,Loamy,MOP,Flood Irrigation,3.665
Cotton,1.79,24-07-2024,Silty,NPK,Sprinkler Irrigation,0.493
Potato,0.98,06-11-2024,Alluvial,NPK,Rainfed,22.929
Rice,0.64,27-06-2025,Silty,Compost/Organic Manure,Flood Irrigation,4.463
Potato,0.31,01-10-2023,Loamy,NPK,Drip Irrigation,28.014
Soybean,0.45,01-06-2025,Silty,NPK,Drip Irrigation,1.19
Groundnut,0.51,26-06-2023,Alluvial,Urea,Furrow/Canal irrigation,1.448
Cotton,4.64,27-06-2024,Loamy,Compost/Organic Manure,Drip Irrigation,0.543
Onion,0.27,10-10-2025,Peaty,Compost/Organic Manure,Rainfed,13.855
Potato,8.18,13-11-2023,Silty,Urea,Drip Irrigation,28.045
Rice,0.34,19-07-2025,Alluvial,Biofertilizers,Furrow/Canal irrigation,4.978
Onion,4.11,19-06-2024,Clay,Urea,Drip Irrigation,24.711
Onion,3.5,01-05-2024,Alluvial,MOP,Furrow/Canal irrigation,24.026
Groundnut,2.31,06-06-2025,Silty,MOP,Furrow/Canal irrigation,1.375
Sugarcane,5.4,05-02-2025,Laterite,Ammonium Sulphate,Drip Irrigation,106.545
Groundnut,0.76,08-06-2023,Laterite,DAP,Furrow/Canal irrigation,1.507
Onion,3.03,01-11-2025,Silty,Compost/Organic Manure,Rainfed,19.466
Wheat,1.21,19-12-2024,Silty,Urea,Rainfed,2.64
Potato,1.52,05-02-2023,Clay,Compost/Organic Manure,Sprinkler Irrigation,22.513
Maize,1.99,10-09-2024,Clay,Compost/Organic Manure,Drip Irrigation,3.764
Rice,0.78,04-07-2024,Sandy,DAP,Drip Irrigation,4.16
Soybean,1.41,10-06-2025,Clay,Compost/Organic Manure,Furrow/Canal irrigation,1.041
Cotton,1.62,22-05-2025,Clay,Urea,Flood Irrigation,0.44
Maize,0.39,14-07-2024,Loamy,Compost/Organic Manure,Flood Irrigation,3.771
Onion,0.23,15-10-2025,Sandy,DAP,Furrow/Canal irrigation,20.721
Wheat,2.39,15-11-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,3.692
Onion,2.96,23-06-2024,Loamy,DAP,Furrow/Canal irrigation,25.347
Onion,1.16,19-11-2025,Laterite,DAP,Flood Irrigation,25.624
Groundnut,0.96,19-05-2024,Alluvial,Urea,Furrow/Canal irrigation,1.552
Rice,0.5,15-06-2025,Laterite,Compost/Organic Manure,Drip Irrigation,4.578
Potato,0.24,21-06-2025,Loamy,DAP,Sprinkler Irrigation,28.359
Maize,3.79,19-10-2023,Clay,NPK,Furrow/Canal irrigation,4.222
Sugarcane,0.4,23-11-2025,Alluvial,NPK,Rainfed,84.357
Rice,0.46,06-07-2025,Silty,Urea,Furrow/Canal irrigation,5.003
Sugarcane,0.46,26-01-2025,Clay,Urea,Flood Irrigation,87.846
Cotton,1.58,15-07-2024,Laterite,MOP,Rainfed,0.406
Wheat,0.99,14-11-2024,Alluvial,Urea,Furrow/Canal irrigation,3.475
Groundnut,3.49,26-06-2024,Loamy,NPK,Rainfed,1.477
Maize,1.26,02-10-2024,Laterite,Urea,Furrow/Canal irrigation,3.381
Soybean,0.82,17-06-2025,Loamy,Urea,Rainfed,0.852
Onion,2.85,06-06-2025,Loamy,MOP,Flood Irrigation,21.639
Groundnut,4.7,13-06-2024,Sandy,DAP,Flood Irrigation,1.211
Sugarcane,1.07,12-10-2025,Loamy,NPK,Flood Irrigation,105.518
Potato,2.06,20-02-2025,Clay,NPK,Drip Irrigation,25.688
Maize,0.35,20-10-2025,Silty,Ammonium Sulphate,Flood Irrigation,3.721
Wheat,0.92,05-12-2024,Clay,NPK,Sprinkler Irrigation,3.497
Maize,0.4,18-06-2024,Loamy,DAP,Sprinkler Irrigation,4.518
Potato,1.62,01-02-2023,Clay,DAP,Flood Irrigation,24.195
Cotton,4.59,14-07-2024,Chalky,NPK,Sprinkler Irrigation,0.464
Cotton,0.85,08-06-2024,Silty,Urea,Rainfed,0.447
Groundnut,0.67,19-05-2025,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,1.392
Maize,4.29,18-07-2025,Loamy,NPK,Furrow/Canal irrigation,4.418
Sugarcane,0.94,15-10-2024,Loamy,Compost/Organic Manure,Drip Irrigation,115.001
Potato,0.42,07-10-2025,Laterite,MOP,Flood Irrigation,19.677
Groundnut,0.62,26-05-2024,Loamy,DAP,Drip Irrigation,1.777
Maize,2.15,11-09-2025,Alluvial,DAP,Rainfed,3.843
Onion,2.47,02-05-2024,Alluvial,Compost/Organic Manure,Sprinkler Irrigation,23.307
Potato,0.95,27-11-2024,Loamy,Compost/Organic Manure,Flood Irrigation,24.914
Rice,0.5,15-07-2025,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,4.096
Maize,1.12,15-10-2025,Alluvial,DAP,Drip Irrigation,4.679
Groundnut,1.34,21-06-2025,Silty,DAP,Drip Irrigation,1.605
Cotton,1.99,16-05-2025,Loamy,Compost/Organic Manure,Flood Irrigation,0.595
Cotton,0.14,02-04-2025,Sandy,Compost/Organic Manure,Rainfed,0.415
Rice,5.21,14-06-2024,Loamy,Ammonium Sulphate,Sprinkler Irrigation,5.428
Soybean,2.56,03-06-2025,Silty,DAP,Flood Irrigation,1.1
Potato,1.97,24-11-2023,Chalky,DAP,Rainfed,16.474
Sugarcane,1.2,05-10-2024,Silty,NPK,Rainfed,85.4
Rice,5.3,23-07-2025,Loamy,Urea,Flood Irrigation,4.922
